,entity_id,label,description,example
1,BFO.0000051,has part,a core relation that holds between a whole and its part,
2,BFO.0000054,realized in,,
3,BFO.0000055,realizes,,
4,BFO.0000062,preceded by,"x is preceded by y if and only if the time point at which y ends is before or equivalent to the time point at which x starts. Formally: x preceded by y iff ω(y) <= α(x), where α is a function that maps a process to a start point, and ω is a function that maps a process to an end point.",
5,BFO.0000063,precedes,"x precedes y if and only if the time point at which x ends is before or equivalent to the time point at which y starts. Formally: x precedes y iff ω(x) <= α(y), where α is a function that maps a process to a start point, and ω is a function that maps a process to an end point.",
6,BFO.0000066,occurs in,b occurs_in c =def b is a process and c is a material entity or immaterial entity& there exists a spatiotemporal region r and b occupies_spatiotemporal_region r.& forall(t) if b exists_at t then c exists_at t & there exist spatial regions s and s’ where & b spatially_projects_onto s at t& c is occupies_spatial_region s’ at t& s is a proper_continuant_part_of s’ at t,
7,BFO.0000067,contains process,[copied from inverse property 'occurs in'] b occurs_in c =def b is a process and c is a material entity or immaterial entity& there exists a spatiotemporal region r and b occupies_spatiotemporal_region r.& forall(t) if b exists_at t then c exists_at t & there exist spatial regions s and s’ where & b spatially_projects_onto s at t& c is occupies_spatial_region s’ at t& s is a proper_continuant_part_of s’ at t,
9,PEL.000000,activates,"convert (something, such as a provitamin) into a biologically active derivative",
10,PEL.000001,actuates,cause to act in a particular way; motivate,
11,PEL.000002,associates,combine or join with other parts,
12,PEL.000003,binds to,"to combine with, form a bond with, or be taken up by a chemical or chemical structure"," ""An enzyme is structured in such a way as to be able to bind with its substrate"""
13,PEL.000004,causes,make happen,
14,PEL.000005,constrains,"severely restrict the scope, extent, or activity of",
15,PEL.000006,controls,determine the behaviour or supervise the running of,
16,PEL.000007,degrades,break down or deteriorate chemically,
17,PEL.000008,destroys,end the existence of something by damaging or attacking it,
18,PEL.000009,directs,control the operations of; manage or govern,
19,PEL.000010,downregulates,"lower the rate or level of (a process such as gene expression, or sensitivity to a physiologically active substance) by downregulation",
20,PEL.000011,enhances,"intensify, increase, or further improve the quality",
21,PEL.000012,facilitates,make (an action or process) easy or easier,
22,PEL.000013,forces,make something happen,
23,PEL.000014,hinders,make it difficult for something to happen,
24,PEL.000015,inactivates,make inactive or inoperative,
25,PEL.000016,increases,"become or make greater in size, amount, or degree",
26,PEL.000017,induces,bring about or give rise to,none of these measures induced a change of policy
27,PEL.000018,inhibits,"hinder, restrain, or prevent (an action or process)",
28,PEL.000019,initiates,cause (a process or action) to begin,he proposes to initiate discussions on planning procedures
31,PEL.000022,limits,curtail or reduce in quantity or extent,
32,PEL.000023,mentions,refer to something,
33,PEL.000024,overproduces,produce an excessive amount,"if soils are too fertile, the vines can overproduce, leading to vegetal aromas and flavors"
34,PEL.000025,phosphorylates,introduce a phosphate group into (a molecule or compound),
35,PEL.000026,produces,cause (a particular result or situation) to happen or exist,
36,PEL.000027,promotes,,
37,PEL.000028,provokes,call forth an action,
38,PEL.000029,reduces,"diminish in size, amount, extent, or number",
39,PEL.000030,repress,inactivate (a gene or formation of a gene product),
40,PEL.000031,reverts,return to previous state,
41,PEL.000032,secretes,"(of a cell, gland, or organ) produce and discharge (a substance)",insulin is secreted in response to rising levels of glucose in the blood
42,PEL.000033,shuts,cause to cease or suspend an operation or activity,
44,PEL.000035,suppress,inhibit the genetic expression of,
