entity_id,label,description,inverse_entity_id,inverse_label,inverse_source,needs_review,is_canonical,canonical_entity_id,example
BFO.0000051,has part,a core relation that holds between a whole and its part,,,,False,True,BFO.0000051,
BFO.0000054,realized in,,BFO.0000055,realizes,ro,False,False,BFO.0000055,
BFO.0000055,realizes,,BFO.0000054,realized in,passive_prep,True,True,BFO.0000055,
BFO.0000062,preceded by,"x is preceded by y if and only if the time point at which y ends is before or equivalent to the time point at which x starts. Formally: x preceded by y iff ω(y) <= α(x), where α is a function that maps a process to a start point, and ω is a function that maps a process to an end point.",BFO.0000063,precedes,ro,False,False,BFO.0000063,
BFO.0000063,precedes,"x precedes y if and only if the time point at which x ends is before or equivalent to the time point at which y starts. Formally: x precedes y iff ω(x) <= α(y), where α is a function that maps a process to a start point, and ω is a function that maps a process to an end point.",BFO.0000062,preceded by,passive_by,True,True,BFO.0000063,
BFO.0000066,occurs in,b occurs_in c =def b is a process and c is a material entity or immaterial entity& there exists a spatiotemporal region r and b occupies_spatiotemporal_region r.& forall(t) if b exists_at t then c exists_at t & there exist spatial regions s and s’ where & b spatially_projects_onto s at t& c is occupies_spatial_region s’ at t& s is a proper_continuant_part_of s’ at t,BFO.0000067,contains process,ro,False,True,BFO.0000066,
BFO.0000067,contains process,[copied from inverse property 'occurs in'] b occurs_in c =def b is a process and c is a material entity or immaterial entity& there exists a spatiotemporal region r and b occupies_spatiotemporal_region r.& forall(t) if b exists_at t then c exists_at t & there exist spatial regions s and s’ where & b spatially_projects_onto s at t& c is occupies_spatial_region s’ at t& s is a proper_continuant_part_of s’ at t,,,,False,True,BFO.0000067,
PEL.000000,activates,"convert (something, such as a provitamin) into a biologically active derivative",,,,False,True,PEL.000000,
PEL.000001,actuates,cause to act in a particular way; motivate,,,,False,True,PEL.000001,
PEL.000002,associates,combine or join with other parts,,,,False,True,PEL.000002,
PEL.000003,binds to,"to combine with, form a bond with, or be taken up by a chemical or chemical structure",,,,False,True,PEL.000003," ""An enzyme is structured in such a way as to be able to bind with its substrate"""
PEL.000004,causes,make happen,,,,False,True,PEL.000004,
PEL.000005,constrains,"severely restrict the scope, extent, or activity of",,,,False,True,PEL.000005,
PEL.000006,controls,determine the behaviour or supervise the running of,,,,False,True,PEL.000006,
PEL.000007,degrades,break down or deteriorate chemically,,,,False,True,PEL.000007,
PEL.000008,destroys,end the existence of something by damaging or attacking it,,,,False,True,PEL.000008,
PEL.000009,directs,control the operations of; manage or govern,,,,False,True,PEL.000009,
PEL.000010,downregulates,"lower the rate or level of (a process such as gene expression, or sensitivity to a physiologically active substance) by downregulation",,,,False,True,PEL.000010,
PEL.000011,enhances,"intensify, increase, or further improve the quality",,,,False,True,PEL.000011,
PEL.000012,facilitates,make (an action or process) easy or easier,,,,False,True,PEL.000012,
PEL.000013,forces,make something happen,,,,False,True,PEL.000013,
PEL.000014,hinders,make it difficult for something to happen,,,,False,True,PEL.000014,
PEL.000015,inactivates,make inactive or inoperative,,,,False,True,PEL.000015,
PEL.000016,increases,"become or make greater in size, amount, or degree",,,,False,True,PEL.000016,
PEL.000017,induces,bring about or give rise to,,,,False,True,PEL.000017,none of these measures induced a change of policy
PEL.000018,inhibits,"hinder, restrain, or prevent (an action or process)",,,,False,True,PEL.000018,
PEL.000019,initiates,cause (a process or action) to begin,,,,False,True,PEL.000019,he proposes to initiate discussions on planning procedures
PEL.000022,limits,curtail or reduce in quantity or extent,,,,False,True,PEL.000022,
PEL.000023,mentions,refer to something,,,,False,True,PEL.000023,
PEL.000024,overproduces,produce an excessive amount,,,,False,True,PEL.000024,"if soils are too fertile, the vines can overproduce, leading to vegetal aromas and flavors"
PEL.000025,phosphorylates,introduce a phosphate group into (a molecule or compound),,,,False,True,PEL.000025,
PEL.000026,produces,cause (a particular result or situation) to happen or exist,RO.0003001,produced by,passive_by,True,True,PEL.000026,
PEL.000027,promotes,,,,,False,True,PEL.000027,
PEL.000028,provokes,call forth an action,,,,False,True,PEL.000028,
PEL.000029,reduces,"diminish in size, amount, extent, or number",,,,False,True,PEL.000029,
PEL.000030,repress,inactivate (a gene or formation of a gene product),,,,False,True,PEL.000030,
PEL.000031,reverts,return to previous state,,,,False,True,PEL.000031,
PEL.000032,secretes,"(of a cell, gland, or organ) produce and discharge (a substance)",,,,False,True,PEL.000032,insulin is secreted in response to rising levels of glucose in the blood
PEL.000033,shuts,cause to cease or suspend an operation or activity,,,,False,True,PEL.000033,
PEL.000035,suppress,inhibit the genetic expression of,,,,False,True,PEL.000035,
PEL.000036,triggers,initiate or set off,,,,False,True,PEL.000036,
PEL.000037,upregulates,"increase the rate or level of (a process such as gene expression, or sensitivity to a physiologically active substance) by upregulation",,,,False,True,PEL.000037,
RO.0000053,has characteristic,Inverse of characteristic_of,,,,False,True,RO.0000053,
RO.0000056,participates in,"a relation between a continuant and a process, in which the continuant is somehow involved in the process",RO.0000057,has participant,ro,False,True,RO.0000056,
RO.0000057,has participant,"a relation between a process and a continuant, in which the continuant is somehow involved in the process",,,,False,True,RO.0000057,
